row_id,year,month,mdate,sensor_id,sensor_name,pedestrain_counts,rank
102,2009,August,11,3,Melbourne Central,25099,3.0
103,2009,August,11,2,Bourke Street Mall (South),24925,4.0
104,2009,August,11,6,Flinders Street Station Underpass,24632,5.0
105,2009,August,11,5,Princes Bridge,18923,6.0
106,2009,August,11,15,State Library,18096,7.0
107,2009,August,11,16,Australia on Collins,16151,8.0
108,2009,August,11,1,Bourke Street Mall (North),15248,9.0
109,2009,August,11,17,Collins Place (South),13290,10.0
110,2009,August,12,4,Town Hall (West),33386,1.0
111,2009,August,12,2,Bourke Street Mall (South),27065,2.0
112,2009,August,12,3,Melbourne Central,26568,3.0
113,2009,August,12,6,Flinders Street Station Underpass,26294,4.0
114,2009,August,12,13,Flagstaff Station,25435,5.0
115,2009,August,12,5,Princes Bridge,22746,6.0
116,2009,August,12,15,State Library,18746,7.0
117,2009,August,12,16,Australia on Collins,17620,8.0
118,2009,August,12,1,Bourke Street Mall (North),17477,9.0
119,2009,August,12,17,Collins Place (South),14103,10.0
120,2009,August,13,4,Town Hall (West),34704,1.0
121,2009,August,13,2,Bourke Street Mall (South),29874,2.0
122,2009,August,13,3,Melbourne Central,28213,3.0
123,2009,August,13,6,Flinders Street Station Underpass,27159,4.0
124,2009,August,13,13,Flagstaff Station,25540,5.0
125,2009,August,13,5,Princes Bridge,24093,6.0
126,2009,August,13,1,Bourke Street Mall (North),20746,7.0
127,2009,August,13,15,State Library,19340,8.0
128,2009,August,13,16,Australia on Collins,18229,9.0
129,2009,August,13,17,Collins Place (South),14640,10.0
130,2009,August,14,4,Town Hall (West),44254,1.0
131,2009,August,14,2,Bourke Street Mall (South),39959,2.0
132,2009,August,14,3,Melbourne Central,35398,3.0
133,2009,August,14,6,Flinders Street Station Underpass,30972,4.0
134,2009,August,14,5,Princes Bridge,29464,5.0
135,2009,August,14,1,Bourke Street Mall (North),23584,6.0
136,2009,August,14,13,Flagstaff Station,23488,7.0
137,2009,August,14,15,State Library,22929,8.0
138,2009,August,14,16,Australia on Collins,22113,9.0
139,2009,August,14,17,Collins Place (South),14441,10.0
140,2009,August,15,4,Town Hall (West),39711,1.0
141,2009,August,15,3,Melbourne Central,30279,2.0
142,2009,August,15,2,Bourke Street Mall (South),29231,3.0
143,2009,August,15,5,Princes Bridge,26521,4.0
144,2009,August,15,1,Bourke Street Mall (North),20730,5.0
145,2009,August,15,6,Flinders Street Station Underpass,19874,6.0
146,2009,August,15,15,State Library,16450,7.0
147,2009,August,15,16,Australia on Collins,13884,8.0
148,2009,August,15,14,Sandridge Bridge,7505,9.0
149,2009,August,15,12,New Quay,5937,10.0
150,2009,August,16,4,Town Hall (West),25737,1.0
151,2009,August,16,3,Melbourne Central,21130,2.0
152,2009,August,16,2,Bourke Street Mall (South),19851,3.0
153,2009,August,16,5,Princes Bridge,19184,4.0
